subtype,CRC_mean,UC_mean,log2FC,pval,n_CRC,n_UC,fdr
TAM,0.08437541093000947,0.0016500299513165352,5.6754015242717415,2.5640491665785874e-08,25,19,4.10247866652574e-07
CD8_Tex,0.04386716930268074,0.0029965138777745827,3.8713361632622494,1.1697882569116512e-06,25,19,9.35830605529321e-06
Treg,0.09314058298089568,0.04838805052683253,0.9447447701529477,0.0002633972777939421,25,19,0.0014047854815676913
Th17,0.23512778118322522,0.1106183320589037,1.087847608469424,0.0007667091796819567,25,19,0.00290884888435107
NK cells,0.03128741994595743,0.06972252418679027,-1.1560166877268054,0.0009090152763597094,25,19,0.00290884888435107
gdT,0.011418860291587911,0.00020081000375692592,5.8224035000645324,0.0012931834634790779,25,19,0.0034484892359442076
Tfh,0.0011470077682812843,0.01617907128820083,-3.8170136546742643,0.0070794296683256465,25,19,0.016181553527601478
B cells,0.20763379221601322,0.3530780476204465,-0.765943002984412,0.008537758042289702,25,19,0.017075516084579405
CD8_Teff,0.15969143832965005,0.1076322959276855,0.569171561794698,0.009804725815402957,25,19,0.01743062367182748
CD4_Tconv,0.010947946984057768,0.09493117734260495,-3.116105047680192,0.014667864657333463,25,19,0.02133507586521231
pDC,0.007463293960440793,0.0023562278788258235,1.6629145697459053,0.014598095123756063,25,19,0.02133507586521231
CD8_Tpex,0.0060120127523370205,0.10733996754378816,-4.15796896894747,0.016691810297290777,25,19,0.02225574706305437
cDC2,0.014234296010774704,0.009905456270400416,0.523031517904324,0.05202771999788966,25,19,0.06403411692047958
Inflam_Mac,0.016398562470232744,0.016006967340237502,0.03486719623688054,0.4907178378847812,25,19,0.5608203861540356
Mast cells,0.004076964058298741,0.0008302953768232084,2.294415966765211,0.5638178137209646,25,19,0.5857803631713108
Classical_Mono,0.07317746081555716,0.05816423280561258,0.33126200493762664,0.5857803631713108,25,19,0.5857803631713108
