Cell_subtype,Cell_type,n_total,Border_mean_pct,Normal_mean_pct,Tumor_mean_pct,Fold_Border_vs_Normal,Fold_Tumor_vs_Border,pval_Border_vs_Normal,FDR_Border_vs_Normal,log2FC_Border_Normal,sig
Epithelial cells,Epithelial cells,2812,29.774,0.0,0.0,297738.0607829044,3.3586569260594125e-06,0.002778430110099,0.0217,18.184,**
SPP1+B,Myeloids,634,3.549,0.062,3.223,57.5119475063131,0.9080519606263926,0.004336913286459,0.0233,5.846,**
SPP1+A,Myeloids,103,0.502,0.009,0.852,55.828508489276494,1.6969685167382278,0.1822871757388934,0.2962,5.803,ns
Myofibroblasts,Stromal cells,1226,5.747,0.231,8.122,24.81801409933385,1.4131850776019592,0.0047718217137971,0.0233,4.633,**
Regulatory T cells,T cells,1111,3.51,0.481,4.981,7.298360261234912,1.4193144417645696,0.093073593073593,0.2017,2.868,ns
IgG+ Plasma,B cells,105,0.242,0.037,0.655,6.578841416450827,2.7110549163322117,0.0504606086110935,0.1406,2.718,.
Pericytes,Stromal cells,438,3.286,0.795,3.922,4.131322064122221,1.1935007902292825,0.132034632034632,0.2341,2.047,ns
Proliferating,Myeloids,274,1.575,0.382,1.56,4.117723602223847,0.9903182829563116,0.0151515151515151,0.0537,2.042,*
T follicular helper cells,T cells,259,0.841,0.247,0.461,3.398555887375379,0.548127098849389,0.9338360669612752,1.0,1.765,ns
T helper 17 cells,T cells,312,2.313,1.027,2.985,2.252773396958446,1.2904405954093496,0.5683309908015002,0.715,1.172,ns
Mast cells,Mast cells,248,1.41,0.728,1.086,1.9366687356774093,0.769973605166727,0.093073593073593,0.2017,0.954,ns
Tip-like ECs,Stromal cells,930,4.889,2.538,5.233,1.9262996339204104,1.0702097413511815,0.132034632034632,0.2341,0.946,ns
Stalk-like ECs,Stromal cells,523,1.886,1.355,5.19,1.3919770414772836,2.750877879881987,0.3939393939393939,0.5121,0.477,ns
CMS1,Epithelial cells,758,0.0,0.0,6.132,1.0,61316.55280021531,1.0,1.0,0.0,ns
CMS3,Epithelial cells,804,0.0,0.0,9.649,1.0,96487.16812496504,1.0,1.0,0.0,ns
CMS4,Epithelial cells,30,0.0,0.0,0.221,1.0,2209.5032713248484,1.0,1.0,0.0,ns
CMS2,Epithelial cells,620,0.0,0.0,11.996,1.0,119960.28861994366,1.0,1.0,0.0,ns
CD19+CD20+ B,B cells,1845,5.242,5.435,2.897,0.9644646736560768,0.5527225160690178,0.8181818181818182,0.9669,-0.052,ns
Pro-inflammatory,Myeloids,704,2.238,2.444,2.996,0.9157083491430146,1.338639569155667,1.0,1.0,-0.127,ns
CD4+ T cells,T cells,2061,5.744,7.098,5.135,0.8093398737300571,0.8938939676993084,0.8181818181818182,0.9669,-0.305,ns
cDC,Myeloids,162,0.453,0.609,0.541,0.7443275721193046,1.1940668562651835,0.3939393939393939,0.5121,-0.426,ns
NK cells,T cells,270,0.637,1.103,0.907,0.57781915383511,1.4236586550993962,0.3095238095238095,0.4471,-0.791,ns
IgA+ Plasma,B cells,2717,11.598,20.423,4.759,0.5678907777092705,0.4103729003559997,0.2402597402597402,0.3748,-0.816,ns
Stromal 2,Stromal cells,197,0.795,1.426,0.272,0.5573891925404022,0.3420019732272771,0.1727328291305515,0.2929,-0.843,ns
CD8+ T cells,T cells,1326,3.072,5.652,2.757,0.5434946999040966,0.8974908108278146,0.3095238095238095,0.4471,-0.88,ns
Smooth muscle cells,Stromal cells,591,1.12,2.603,2.315,0.4301557677232814,2.067183029952453,0.132034632034632,0.2341,-1.217,ns
Stromal 1,Stromal cells,692,1.927,4.713,1.942,0.4088071539941091,1.00794006329565,0.093073593073593,0.2017,-1.291,ns
Anti-inflammatory,Myeloids,656,1.31,3.671,1.679,0.3568790150872454,1.281499269785901,0.3939393939393939,0.5121,-1.486,ns
Unspecified Plasma,B cells,211,0.379,1.159,0.792,0.3274063582267849,2.088964365501451,0.093073593073593,0.2017,-1.611,ns
Lymphatic ECs,Stromal cells,123,0.205,0.672,0.678,0.3054766265289072,3.3041108816068,0.0449512427024493,0.1349,-1.711,.
Stromal 3,Stromal cells,2467,3.38,17.173,3.602,0.1968360062185528,1.0655287311062895,0.0043290043290043,0.0233,-2.345,**
gamma delta T cells,T cells,159,0.299,1.826,0.087,0.1635457364361371,0.290139388342041,0.1255302702634151,0.2341,-2.612,ns
Enteric glial cells,Stromal cells,463,0.464,4.087,0.674,0.1136043382615054,1.4516663541715162,0.0151515151515151,0.0537,-3.138,*
Tuft cells,Epithelial cells,26,0.0,0.236,0.0,0.0004239436438427,1.0,0.0284406622664747,0.0924,-11.204,*
BEST4+ Enterocytes,Epithelial cells,52,0.0,0.568,0.0,0.0001760536102458,1.0,0.002778430110099,0.0217,-12.472,**
Mature Enterocytes,Epithelial cells,153,0.0,1.544,0.0,6.477787288756389e-05,1.0,0.0096217195857591,0.0417,-13.914,**
Goblet cells,Epithelial cells,165,0.0,1.623,0.0,6.162564278869015e-05,1.0,0.002778430110099,0.0217,-13.986,**
Intermediate,Epithelial cells,253,0.0,2.824,0.0,3.541531191549696e-05,1.0,0.002778430110099,0.0217,-14.785,**
Stem-like/TA,Epithelial cells,495,0.0,4.78,0.0,2.09222102048332e-05,1.0,0.002778430110099,0.0217,-15.545,**
