Gene,Border_mean,Normal_mean,Tumor_mean,log2FC,pval,FDR,Main_cell_type,Main_subtype,sig
COL10A1,0.0965647981502115,0.000433895465297,0.1362431130061547,7.79469982721357,0.004336913286459,0.126557841588486,Stromal cells,Myofibroblasts,.
PLPP4,0.0603693296046306,0.0002962448828232,0.0928524446984132,7.666043893971916,0.0036645475900385,0.126557841588486,Stromal cells,Myofibroblasts,.
MMP7,0.1030887201583633,0.0005865789523037,0.121562121125559,7.454902044737441,0.004336913286459,0.126557841588486,Stromal cells,Myofibroblasts,.
COMP,0.1124777818719546,0.0016123123544578,0.2089043433467547,6.1234832785499895,0.0049981247650824,0.1441370980048043,Stromal cells,Myofibroblasts,.
COL11A1,0.0908814893725017,0.0019073081202805,0.1232281305516759,5.573636315933431,0.0049981247650824,0.1441370980048043,Stromal cells,Myofibroblasts,.
MMP1,0.1490509569024046,0.0066770473689151,0.1765947670986255,4.480245179561467,0.0021645021645021,0.1128879985262964,Stromal cells,Stromal 1,.
LCN2,0.236395925283432,0.0108519170510893,0.2154707261361181,4.44505650308795,0.0021645021645021,0.1128879985262964,T cells,IgA+ Plasma,.
REG4,0.1350877246198555,0.0070527985614414,0.116688506968785,4.2593630761397465,0.0649350649350649,0.3121021135727018,T cells,Regulatory T cells,ns
OLR1,0.148434390934805,0.0096095407498069,0.1262394934892654,3.949073691084742,0.0021645021645021,0.1128879985262964,Myeloids,SPP1+B,.
CHI3L1,0.077637261711061,0.005095940005655,0.0966849066317081,3.9290645400771376,0.0047718217137971,0.1388359403673018,Stromal cells,Stromal 1,.
INHBA,0.2502490573873122,0.0178853456939881,0.3145066015422344,3.8064398300181175,0.0021645021645021,0.1128879985262964,Stromal cells,Myofibroblasts,.
ADAM12,0.1356029296293854,0.0103642165971299,0.1741163805127143,3.7095768173421866,0.0043290043290043,0.126557841588486,Stromal cells,Myofibroblasts,.
SLC12A8,0.0744088146214683,0.0060309628994824,0.1104538187695046,3.6247934644902697,0.0021645021645021,0.1128879985262964,Stromal cells,Myofibroblasts,.
PODNL1,0.0811132324549059,0.0078867936196426,0.097358193869392,3.362261364728077,0.0021645021645021,0.1128879985262964,Stromal cells,Myofibroblasts,.
TMEM158,0.0683523559321959,0.0072543868639816,0.0919331330806016,3.2358877240061585,0.0043290043290043,0.126557841588486,Stromal cells,Myofibroblasts,.
MMP9,0.1569265611469745,0.0169500003879268,0.1452688307811816,3.2106564309844123,0.0021645021645021,0.1128879985262964,Myeloids,SPP1+B,.
CEACAM6,0.0840132518981893,0.0092227514251135,0.1440957846740881,3.187208543828335,0.0259740259740259,0.2125837434685515,T cells,CD4+ T cells,ns
SUGCT,0.0525252128330369,0.0061437043671806,0.066453729600956,3.095622062470306,0.0021645021645021,0.1128879985262964,Stromal cells,Myofibroblasts,.
TREM1,0.1141645750030875,0.0141183812714492,0.1200383740166823,3.0153789177656543,0.0151515151515151,0.1772799594995299,Myeloids,SPP1+B,.
MDFI,0.0940912462150057,0.0120728970505297,0.1083504768709341,2.962184435817075,0.0043290043290043,0.126557841588486,Stromal cells,Myofibroblasts,.
