Patient,Class,fraction,module
KUL01,Normal,0.040345821325648415,TAM
KUL01,Border,0.4871060171919771,TAM
KUL01,Tumor,0.523121387283237,TAM
KUL19,Normal,0.1685823754789272,TAM
KUL19,Border,0.2191780821917808,TAM
KUL19,Tumor,0.3605769230769231,TAM
KUL21,Normal,0.010752688172043012,TAM
KUL21,Border,0.25203252032520324,TAM
KUL21,Tumor,0.1721311475409836,TAM
KUL28,Normal,0.0,TAM
KUL28,Border,0.08823529411764706,TAM
KUL28,Tumor,0.13559322033898305,TAM
KUL30,Normal,0.014285714285714285,TAM
KUL30,Border,0.15789473684210525,TAM
KUL30,Tumor,0.04477611940298507,TAM
KUL31,Normal,0.0,TAM
KUL31,Border,0.2876712328767123,TAM
KUL01,Normal,0.354978354978355,CD8_Tex
KUL01,Border,0.2900763358778626,CD8_Tex
KUL01,Tumor,0.2222222222222222,CD8_Tex
KUL19,Normal,0.4900990099009901,CD8_Tex
KUL19,Border,0.1593245227606461,CD8_Tex
KUL19,Tumor,0.1917494270435447,CD8_Tex
KUL21,Normal,0.28994082840236685,CD8_Tex
KUL21,Border,0.19004524886877827,CD8_Tex
KUL21,Tumor,0.14601769911504425,CD8_Tex
KUL28,Normal,0.46774193548387094,CD8_Tex
KUL28,Border,0.5263157894736842,CD8_Tex
KUL28,Tumor,0.07462686567164178,CD8_Tex
KUL30,Normal,0.2857142857142857,CD8_Tex
KUL30,Border,0.5151515151515151,CD8_Tex
KUL30,Tumor,0.45454545454545453,CD8_Tex
KUL31,Normal,0.44742729306487694,CD8_Tex
KUL31,Border,0.31203007518796994,CD8_Tex
KUL31,Tumor,0.2222222222222222,CD8_Tex
