names,scores,logfoldchanges,pvals,pvals_adj
GPX1,44.549625,3.511711,0.0,0.0
LYZ,38.712513,3.007493,0.0,0.0
MS4A6A,33.48132,4.2224283,9.015483686422792e-246,5.076280783186434e-243
CD14,32.92079,4.553524,1.1080066167267398e-237,4.9910158050455994e-235
IER3,31.70275,6.3993506,1.4239055810080534e-220,4.751098288630205e-218
GPR183,30.956678,7.336509,2.0657070180168023e-210,5.63938015918587e-208
RPL13A,30.573288,1.3551191,2.7731226318578432e-205,7.138017654402089e-203
RPL21,29.853678,2.4749622,7.864937818296568e-196,1.7281762147569215e-193
IL1B,29.27636,5.4393516,2.074297109817724e-188,3.893196387989141e-186
CAPG,27.90648,4.100518,2.2261291568635025e-171,3.4577926852040163e-169
CCL3,27.71698,6.984836,4.359137913978059e-169,6.656181943564124e-167
GRN,27.07859,1.8626225,1.7599223146620808e-161,2.439252328121644e-159
RPL7,26.246742,1.0221076,7.786717824414426e-152,1.016674505509414e-149
HLA-B,26.041548,9.2833,1.6772077866506614e-149,2.1281640774557474e-147
HLA-DRA,25.83109,10.372548,3.9689919059472876e-147,4.831979470362043e-145
RPLP1,25.541876,0.6247118,6.759202681351497e-144,7.806879096960978e-142
SGK1,25.541237,3.6050036,6.870555055986607e-144,7.83504183536498e-142
HLA-A,25.491169,8.933519,2.469812098535683e-143,2.781317149463496e-141
HLA-DRB1,25.070415,10.828129,1.0458360794277618e-138,1.095574097623803e-136
GAPDH,25.010338,0.7912887,4.7187909399082957e-138,4.886389376739521e-136
CD63,24.950281,2.581086,2.1204032626152659e-137,2.1707628401023784e-135
HLA-DPB1,24.928518,9.718052,3.651942128128461e-137,3.6966681609336294e-135
CTSB,24.8955,2.2152064,8.3238867853054365e-137,8.332210672090742e-135
HLA-C,24.799934,8.775332,8.979410823576871e-136,8.889616715341101e-134
RPS20,24.704338,1.6603408,9.606463316887054e-135,9.407024784982117e-133
HLA-DPA1,24.620739,9.822338,7.576072235170748e-134,7.339014491037985e-132
CD99,24.485168,3.2004066,2.1253961006517907e-132,1.9945514032054146e-130
TNFAIP3,24.257513,3.0766227,5.509093118200704e-130,5.064430602231647e-128
TXN,24.170614,2.3478076,4.5337584586942614e-129,4.004375485723196e-127
RPLP2,24.15967,0.6689965,5.909022195224446e-129,5.168386500657964e-127
TPT1,24.11531,0.6408519,1.7270499210884e-128,1.4678295036873014e-126
RPL27A,24.003048,1.193528,2.5843390731388456e-127,2.1759168887764355e-125
SLC2A3,23.884178,3.162325,4.472709779910113e-126,3.6631493097463826e-124
LMNA,23.293795,6.019295,5.1240810321477476e-120,3.979555691260263e-118
RGS1,23.178246,5.6039767,7.547777054858199e-119,5.811788332240813e-117
HLA-E,23.136139,7.980357,2.004772039737587e-118,1.5305924835589766e-116
HLA-DQB1,23.039185,9.5932455,1.8880917437120293e-117,1.4293965142102244e-115
RNASE6,23.006733,6.8434176,3.99126608332598e-117,2.971679020221798e-115
HLA-DQA1,22.872791,9.546461,8.670776963926296e-116,6.299599166775162e-114
NFKBIA,22.870348,1.5291555,9.170048039809665e-116,6.609037023251621e-114
IGKC,22.688885,5.6058497,5.7680563961477126e-114,4.1241603232456145e-112
CTSD,22.648518,2.010444,1.442816646929818e-113,1.0154949353274008e-111
CXCL2,22.42212,8.813877,2.3950619602451766e-111,1.5983046814702812e-109
VAMP8,22.283112,1.5838094,5.388064578101389e-110,3.543144071833242e-108
S100A8,22.119272,3.2475805,2.062260272356895e-108,1.3366117117743357e-106
S100A9,22.04492,2.0635426,1.0687086338077144e-107,6.877140058552643e-106
LITAF,22.017782,1.9870554,1.9455712363004284e-107,1.243095834597912e-105
HLA-DMA,21.996735,9.569736,3.094663395592905e-107,1.94963793922353e-105
HLA-DRB5,21.563896,9.19751,3.9215459645288136e-103,2.3396826221483498e-101
SOCS3,21.366394,2.8946629,2.7453608245038305e-101,1.5956745592229039e-99
