names,scores,logfoldchanges,pvals,pvals_adj
LST1,47.579445,2.5962303,0.0,0.0
IFITM2,47.577457,4.0197678,0.0,0.0
COTL1,43.894066,2.1141617,0.0,0.0
FCGR3A,43.511288,3.619932,0.0,0.0
SERPINA1,39.306004,2.5862496,0.0,0.0
LYN,38.529003,2.641279,0.0,0.0
IFITM3,37.94579,2.9108229,0.0,0.0
LILRB2,36.404808,2.818741,3.572867807836458e-290,3.2187966080798654e-287
CDKN1C,36.366364,5.4822245,1.448689955070894e-289,1.186477073203062e-286
CFD,36.309128,2.745015,1.1613305615886815e-288,8.718689191127027e-286
RPS19,35.690136,1.0237416,5.622824421832422e-279,3.896617324329869e-276
MS4A7,35.099815,2.388493,6.78490716277344e-270,4.366087759244709e-267
MTSS1,34.61661,3.9715528,1.4210782105701077e-262,8.534995732684067e-260
PTPRC,33.36615,2.0271137,4.248534491674325e-244,2.2514733667937642e-241
NAP1L1,33.082478,1.9448404,5.30958805147602e-240,2.657448819763748e-237
MT-ND4L,33.05837,2.6023839,1.1793129009355454e-239,5.591805223435962e-237
SPI1,32.814705,1.7806717,3.6329934059379137e-236,1.558554171147365e-233
CUX1,32.662003,3.1629725,5.41310985001111e-234,2.2166684835795496e-231
LRRC25,32.23419,3.0114965,5.859152600229361e-228,2.295004598933318e-225
ATP6V0C,32.05104,2.7347097,2.1233346383062422e-225,7.970467398542057e-223
TNFRSF1B,31.895885,2.2202294,3.044891613810621e-223,1.0972571419527954e-220
TXNIP,31.781862,2.4703803,1.152833622066058e-221,3.994568500458891e-219
KLF2,31.599657,2.5858583,3.7323238681962976e-219,1.2008752045921587e-216
AIF1,31.598011,1.2805687,3.9318269404387523e-219,1.2214423760831973e-216
LIMD2,31.54967,2.3611705,1.8119205390803682e-218,5.441197378858346e-216
TCF7L2,31.50373,4.017671,7.722402237359864e-218,2.2442297340766134e-215
LILRB1,31.091398,3.0567625,3.1479531654501553e-212,8.86247189610639e-210
CD37,30.86847,1.9616635,3.1660765590970225e-209,8.38917168261914e-207
DRAP1,30.422277,1.9343696,2.7878409988132906e-203,6.97657209953026e-201
STXBP2,30.320332,2.2796452,6.18574372981941e-202,1.5061450070795421e-199
PPDPF,30.313852,1.7682384,7.530114245129214e-202,1.7852315587991864e-199
MT-ATP8,30.286253,2.743995,1.7392808647432507e-201,4.01308284337097e-199
S100A4,30.285456,1.4659138,1.781810564267275e-201,4.01308284337097e-199
IFITM1,29.839111,4.059408,1.2153992691701674e-195,2.607031432370009e-193
ARHGDIB,29.761597,1.3973088,1.2275714917308589e-194,2.571905016047281e-192
NAAA,29.587149,2.617217,2.1866727137516003e-192,4.4772123814064016e-190
PTPN6,29.582525,2.27027,2.5075395115862915e-192,5.020094102195756e-190
CORO1A,29.334206,1.7789099,3.800348274950958e-189,7.442899480224604e-187
CYTIP,29.32305,2.497546,5.273226881937886e-189,1.0107766165825194e-186
PFN1,29.219069,0.93925184,1.1102980005374553e-187,2.04136218098815e-185
JUNB,28.877897,1.5504996,2.262673725027619e-183,4.076885517754764e-181
RAC2,28.857687,2.1589632,4.057888357529813e-183,7.16814043391884e-181
LY6E,28.796793,2.2076762,2.352717443297013e-182,4.076082970512075e-180
TSC22D3,28.506393,1.9411942,9.760717747279558e-179,1.659137852551727e-176
LYST,28.246502,2.4228091,1.5713814405657448e-175,2.6215880366771842e-173
RAP1B,28.181953,2.306726,9.731926037164572e-175,1.5940894848875567e-172
NACA,28.142212,1.1753445,2.984529997441311e-174,4.8013626333837087e-172
DUSP1,28.03108,1.3467247,6.794563002627762e-173,1.073898562994272e-170
ACTB,27.535374,0.78376,6.6243689341479986e-167,9.94648995462322e-165
PTP4A2,27.531765,1.8337073,7.31733272882216e-167,1.0806860746550629e-164
