gene,rho,pval,abs_rho
S100A8,-0.5520673517578104,0.0,0.5520673517578104
VCAN,-0.4934618066200311,0.0,0.4934618066200311
LYZ,-0.48739749610468724,0.0,0.48739749610468724
S100A12,-0.48390819301591786,0.0,0.48390819301591786
MT-ND3,-0.4367136782880783,0.0,0.4367136782880783
S100A9,-0.4263238169276152,0.0,0.4263238169276152
FCN1,-0.40136910423567956,0.0,0.40136910423567956
CSTA,-0.4012479495917683,0.0,0.4012479495917683
FCGR3A,0.3482732944887672,0.0,0.3482732944887672
S100A4,-0.31815079727239665,0.0,0.31815079727239665
CSF3R,-0.30724262482487275,0.0,0.30724262482487275
MNDA,-0.29169720928765935,5.315316470056575e-286,0.29169720928765935
THBS1,-0.2899103406332331,2.2339196615733133e-282,0.2899103406332331
CTSC,0.28895877216483246,1.8534786290663717e-280,0.28895877216483246
RPS27,-0.28542648674962046,2.1189811929560296e-273,0.28542648674962046
RPS26,-0.2777263985007828,2.289679536862595e-258,0.2777263985007828
LGMN,0.27127482216527776,3.8683264992717614e-246,0.27127482216527776
CYP1B1,-0.26838215680723854,9.163141808757963e-241,0.26838215680723854
RGS1,0.263977153221207,1.0447824799036474e-232,0.263977153221207
RPS4Y1,-0.25834711217373224,1.2424322433557991e-222,0.25834711217373224
HES4,0.255758084862452,4.408359025249278e-218,0.255758084862452
STMN1,0.2507496296390473,1.9884029585957322e-209,0.2507496296390473
IGKC,0.25021459312874644,1.627574931210813e-208,0.25021459312874644
CDKN1C,0.24969503302880752,1.2475435504927907e-207,0.24969503302880752
RBP7,-0.24883452631679873,3.601109975075274e-206,0.24883452631679873
S100A10,-0.24846333398067735,1.529800273839236e-205,0.24846333398067735
CD36,-0.248318149538719,2.6918680882060103e-205,0.248318149538719
TSPAN13,0.24780423152049647,1.983704317984661e-204,0.24780423152049647
LGALS2,-0.2438901217409419,6.879096292980868e-198,0.2438901217409419
HLA-DPB1,0.24198477094782664,9.523704261493853e-195,0.24198477094782664
TUBA1B,0.2410226158727092,3.5856457615075315e-193,0.2410226158727092
HLA-DPA1,0.23876540137523808,1.6738035156096532e-189,0.23876540137523808
CD52,-0.23508728170492554,1.3180099994378398e-183,0.23508728170492554
MZB1,0.22801678434063144,1.4738590486949177e-172,0.22801678434063144
GZMB,0.22789160516033113,2.2945309029768665e-172,0.22789160516033113
CD74,0.22728885905207669,1.9261803183054278e-171,0.22728885905207669
ITM2C,0.22222599638924145,8.696975878262085e-164,0.22222599638924145
HLA-DRA,0.22142537877999152,1.3565692081966567e-162,0.22142537877999152
HLA-DRB1,0.2186914823546204,1.4818180129275357e-158,0.2186914823546204
SLC2A3,-0.21785862181986454,2.4552849486008632e-157,0.21785862181986454
PLD4,0.21611728546438658,8.37411049503239e-155,0.21611728546438658
DERL3,0.20998475491074844,4.635603208301084e-146,0.20998475491074844
PTMS,0.20982098819074532,7.867312728251256e-146,0.20982098819074532
ACP5,0.20763044985069268,8.908538268738548e-143,0.20763044985069268
MEGF9,-0.20758158504538957,1.0412015587909752e-142,0.20758158504538957
CLIC3,0.20448614006119123,1.8735417449737777e-138,0.20448614006119123
CD300E,-0.20382012387688178,1.510546317662109e-137,0.20382012387688178
UGCG,0.202111518483482,3.090008154051958e-135,0.202111518483482
HLA-DQA2,0.20142723670802912,2.567573353984689e-134,0.20142723670802912
CEBPD,-0.20039772650517726,6.118792037327137e-133,0.20039772650517726
PLTP,0.19867239928164962,1.1953515268606648e-130,0.19867239928164962
CTSL,0.19816074765269592,5.659008447972493e-130,0.19816074765269592
ALOX5AP,0.19678706834085347,3.6003952444444834e-128,0.19678706834085347
C12orf75,0.1955951465781589,1.289344183791276e-126,0.1955951465781589
TCF4,0.1949101676604015,9.973388346990064e-126,0.1949101676604015
AHNAK,-0.19471309617918978,1.7940710942494355e-125,0.19471309617918978
SEL1L3,0.19279280966427567,5.297239589802176e-123,0.19279280966427567
GAS6,0.18971012538683324,4.311427191779632e-119,0.18971012538683324
SIGLEC10,0.1879280578175445,7.319697132833047e-117,0.1879280578175445
CKB,0.18766289468075142,1.5644561106121965e-116,0.18766289468075142
METTL9,-0.1869779934151629,1.1068675280458051e-115,0.1869779934151629
FPR1,-0.18663894221554678,2.907472736429762e-115,0.18663894221554678
FCAR,-0.18480762682767513,5.186527152525321e-113,0.18480762682767513
CD81,0.18445770705760614,1.3879105170146759e-112,0.18445770705760614
PSAP,0.18282408473965758,1.338672389121682e-110,0.18282408473965758
TRAF4,0.18242937786097563,4.0113674979936304e-110,0.18242937786097563
ASGR1,-0.18142723153955706,6.434016409761399e-109,0.18142723153955706
FAM200B,-0.18131989902064155,8.652514376254962e-109,0.18131989902064155
ANXA1,-0.1771046227001565,8.434534249400483e-104,0.1771046227001565
NRGN,-0.17616483699689672,1.0504027806824543e-102,0.17616483699689672
LRRK2,-0.17524466320920026,1.2240828981550672e-101,0.17524466320920026
PID1,-0.17229056291336706,2.96204074392358e-98,0.17229056291336706
CD9,0.17175140844011086,1.2094974086445116e-97,0.17175140844011086
MT-ATP8,-0.17158529606080217,1.8640151784242526e-97,0.17158529606080217
SMARCD3,-0.1708543211573472,1.243872240756799e-96,0.1708543211573472
PXN,-0.1704706874057658,3.356729274004277e-96,0.1704706874057658
PTGDS,0.17045544354020034,3.4916182809987615e-96,0.17045544354020034
PTPRS,0.16978776430901113,1.9537908102500986e-95,0.16978776430901113
IRF4,0.16577752672130786,5.219115630657618e-91,0.16577752672130786
VIM,-0.16474190469178382,6.961271786579443e-90,0.16474190469178382
APOBEC3A,-0.16386777867198524,6.1173996369992346e-89,0.16386777867198524
ARHGAP26,-0.16227960519120382,3.075965618021214e-87,0.16227960519120382
FABP5,0.16172980780576754,1.1828517364872274e-86,0.16172980780576754
UBXN11,-0.15970286999443756,1.6273767315349571e-84,0.15970286999443756
TREM1,-0.1589101753012494,1.0968630427516535e-83,0.1589101753012494
CTSB,0.15888489332535038,1.1654954110781054e-83,0.15888489332535038
CD93,-0.15864255811660058,2.084196821498411e-83,0.15864255811660058
HMOX1,0.15851023008923937,2.8615930907782887e-83,0.15851023008923937
IGLC2,0.15835390042553482,4.1599927603774555e-83,0.15835390042553482
