names,scores,logfoldchanges,pvals,pvals_adj
LTB,42.88006,4.3874984,0.0,0.0
JUNB,35.544933,1.6723504,9.94922945924388e-277,3.447408007628005e-274
MT-ATP8,34.699066,3.4925146,8.137965565329286e-264,2.3649977992919852e-261
TMSB10,34.51308,0.8253411,5.105924800895782e-261,1.4374773916021907e-258
S100A4,30.632727,1.6002742,4.488993023973693e-206,9.191213216586136e-204
MT-ND4L,30.526022,2.438187,1.176916073279109e-204,2.304964544385107e-202
IFITM1,29.937769,2.6563768,6.348492610372922e-197,1.0791239608839558e-194
FXYD5,29.39117,1.5276146,7.121383101651334e-190,1.1456525064781583e-187
RPL10,29.323727,0.28826755,5.1695715830738285e-189,8.170643928405636e-187
RPLP0,27.285769,0.5657564,6.25820751287251e-164,8.05431306906692e-162
LDHB,27.1718,1.6902324,1.399480366905224e-162,1.658936661243311e-160
RPL18,26.371784,0.42021298,2.887782876152433e-153,3.134462160392441e-151
RPS8,25.884165,0.41327065,1.0041205798445756e-147,1.0397841728528484e-145
NFKBIA,25.86109,1.5968981,1.8257780933064388e-147,1.8691403230224666e-145
RPL11,25.511753,0.34394184,1.4599766810546936e-143,1.4614366577357484e-141
RPL29,25.387873,0.38943815,3.433005748271544e-142,3.361733563715037e-140
RPL14,24.953941,0.3914033,1.935077796347837e-137,1.8159495695101732e-135
RPL7A,24.931963,0.46949476,3.3508835681524446e-137,3.112176295410863e-135
EMP3,24.220287,2.1835296,1.3601982825705797e-129,1.2132699334335002e-127
EEF1A1,24.048973,0.26323023,8.556947642023488e-128,7.557798167351922e-126
DUSP1,23.299109,1.1095498,4.526409629780499e-120,3.8110676967002348e-118
RPL30,22.764399,0.34859866,1.033397236452858e-114,8.463523366548907e-113
RPL19,22.631678,0.2967244,2.1140458331330678e-113,1.7158053072698926e-111
PCBP2,22.46516,1.1543466,9.098292924207711e-112,7.318439370909577e-110
RPL13,22.255503,0.23598993,9.976946909088662e-110,7.815853452519979e-108
GPR183,22.16208,2.9032426,7.977643125575699e-109,6.195740251578575e-107
DNAJB1,21.572325,1.37751,3.2685289599133883e-103,2.413621098349157e-101
SPOCK2,21.489964,1.7911987,1.93261549521267e-102,1.415523007835036e-100
ITGB2,20.666845,3.6316292,6.88742020944624e-95,4.736547226481006e-93
RPL18A,20.38598,0.20403539,2.227057780554214e-92,1.4972808615681278e-90
