threshold,quantile_cut,gene,log2fc,pval,direction
Top 10%,0.9,HPSE2,2.316,0.012486,RCRC_up
Top 10%,0.9,FGFR4,2.194,0.043431,RCRC_up
Top 10%,0.9,HOXC8,2.1874,0.003554,RCRC_up
Top 10%,0.9,HOXC6,1.9864,0.020112,RCRC_up
Top 10%,0.9,SFRP1,1.8395,0.018391,RCRC_up
Top 10%,0.9,MLXIPL,1.7713,0.04366,RCRC_up
Top 10%,0.9,ARHGAP20,1.7684,0.043919,RCRC_up
Top 10%,0.9,PRRT1,1.7386,0.019714,RCRC_up
Top 10%,0.9,SCUBE1,1.6406,0.044011,RCRC_up
Top 10%,0.9,CCDC173,1.6085,0.035929,RCRC_up
Top 10%,0.9,TCL1A,-2.2928,0.023416,LCRC_up
Top 10%,0.9,RLTPR,-2.0827,0.047856,LCRC_up
Top 10%,0.9,S100A1,-1.9776,0.033786,LCRC_up
Top 10%,0.9,CTB-50L17.14,-1.9401,0.023005,LCRC_up
Top 10%,0.9,NIPAL4,-1.8573,0.043277,LCRC_up
Top 10%,0.9,ACY3,-1.8547,0.026173,LCRC_up
Top 10%,0.9,ASPHD1,-1.8409,0.020102,LCRC_up
Top 10%,0.9,CTD-2561B21.11,-1.7312,0.038876,LCRC_up
Top 10%,0.9,KIF9-AS1,-1.6993,0.039564,LCRC_up
Top 10%,0.9,SERHL2,-1.5738,0.003833,LCRC_up
Top 20%,0.8,HOXC8,2.8945,0.001752,RCRC_up
Top 20%,0.8,HOXC6,2.7739,0.041332,RCRC_up
Top 20%,0.8,CNTNAP2,2.5762,0.007752,RCRC_up
Top 20%,0.8,CNR2,2.2507,0.015779,RCRC_up
Top 20%,0.8,CTD-2396E7.11,2.0845,0.00076,RCRC_up
Top 20%,0.8,TRIM63,2.0406,0.013184,RCRC_up
Top 20%,0.8,TMEM240,2.0196,0.036516,RCRC_up
Top 20%,0.8,GSTA1,1.9848,0.024715,RCRC_up
Top 20%,0.8,HRH4,1.9524,0.039446,RCRC_up
Top 20%,0.8,HOXC5,1.9046,0.028966,RCRC_up
Top 20%,0.8,PRAC1,-3.1572,0.001376,LCRC_up
Top 20%,0.8,IL24,-2.5402,0.033379,LCRC_up
Top 20%,0.8,TNFRSF10C,-2.1018,0.022905,LCRC_up
Top 20%,0.8,CTD-2561B21.11,-2.0924,0.045771,LCRC_up
Top 20%,0.8,TNK2-AS1,-2.063,8e-06,LCRC_up
Top 20%,0.8,TTC39A,-2.0127,0.017523,LCRC_up
Top 20%,0.8,UPK3A,-2.0112,0.007656,LCRC_up
Top 20%,0.8,SPINK1,-1.8393,0.002338,LCRC_up
Top 20%,0.8,NPFFR2,-1.7592,0.009982,LCRC_up
Top 20%,0.8,LEP,-1.6613,0.010591,LCRC_up
Top 30% [default],0.7,HOXC6,3.5607,0.030083,RCRC_up
Top 30% [default],0.7,HOXC8,3.0889,0.006407,RCRC_up
Top 30% [default],0.7,CNTNAP2,2.5636,0.044818,RCRC_up
Top 30% [default],0.7,TRIM63,2.4177,0.003419,RCRC_up
Top 30% [default],0.7,FAM169A,2.3591,0.040745,RCRC_up
Top 30% [default],0.7,CLDN9,2.3505,0.01131,RCRC_up
Top 30% [default],0.7,ST8SIA6,2.1104,0.03021,RCRC_up
Top 30% [default],0.7,ZBTB16,2.0998,0.035007,RCRC_up
Top 30% [default],0.7,TRBV14,1.8589,0.001076,RCRC_up
Top 30% [default],0.7,TDRD1,1.8524,0.046179,RCRC_up
Top 30% [default],0.7,PRAC1,-4.0545,0.006469,LCRC_up
Top 30% [default],0.7,CTB-55O6.13,-2.126,0.038697,LCRC_up
Top 30% [default],0.7,ZFP57,-2.0243,0.039514,LCRC_up
Top 30% [default],0.7,NPFFR2,-1.9855,0.025185,LCRC_up
Top 30% [default],0.7,TAC1,-1.9661,0.0402,LCRC_up
Top 30% [default],0.7,HAR1B,-1.9391,0.003182,LCRC_up
Top 30% [default],0.7,ADM2,-1.8967,0.005879,LCRC_up
Top 30% [default],0.7,CPNE6,-1.7546,0.028332,LCRC_up
Top 30% [default],0.7,MSI1,-1.702,0.03526,LCRC_up
Top 30% [default],0.7,LEP,-1.6613,0.010591,LCRC_up
Top 50%,0.5,HPCAL4,3.5005,0.043402,RCRC_up
Top 50%,0.5,HOXC6,2.9471,0.028766,RCRC_up
Top 50%,0.5,HOXC-AS1,2.2942,0.014603,RCRC_up
Top 50%,0.5,MAB21L3,2.2749,0.027742,RCRC_up
Top 50%,0.5,ST8SIA6,2.245,0.013928,RCRC_up
Top 50%,0.5,CCDC173,2.2151,0.000599,RCRC_up
Top 50%,0.5,HOXC8,2.1623,0.009281,RCRC_up
Top 50%,0.5,GP6,2.0557,0.021794,RCRC_up
Top 50%,0.5,FKBP5,1.9734,0.023059,RCRC_up
Top 50%,0.5,CXorf57,1.9613,0.022778,RCRC_up
Top 50%,0.5,PRAC1,-4.8512,0.015746,LCRC_up
Top 50%,0.5,NPFFR2,-2.3539,0.005965,LCRC_up
Top 50%,0.5,TAC1,-2.2336,0.027852,LCRC_up
Top 50%,0.5,MYADML2,-2.1803,0.022976,LCRC_up
Top 50%,0.5,TRBV18,-2.0082,0.012412,LCRC_up
Top 50%,0.5,GLTPD2,-1.9123,0.001422,LCRC_up
Top 50%,0.5,TULP2,-1.9108,0.009775,LCRC_up
Top 50%,0.5,TRAV8-4,-1.8895,0.001046,LCRC_up
Top 50%,0.5,CPNE6,-1.8613,0.028868,LCRC_up
Top 50%,0.5,ARHGEF4,-1.8279,0.025487,LCRC_up
