threshold,quantile_cut,gene,log2fc,pval,direction
Top 10%,0.9,CD40LG,3.3861,0.043677,RCRC_up
Top 10%,0.9,MMRN2,3.0136,0.047695,RCRC_up
Top 10%,0.9,CST1,2.8775,0.000582,RCRC_up
Top 10%,0.9,HOXC8,2.7745,0.004949,RCRC_up
Top 10%,0.9,DPEP1,2.7382,0.003719,RCRC_up
Top 10%,0.9,TLR10,2.7134,0.033577,RCRC_up
Top 10%,0.9,CLEC14A,2.5971,0.03088,RCRC_up
Top 10%,0.9,KCNK5,2.4554,0.049483,RCRC_up
Top 10%,0.9,CD70,2.3638,0.016115,RCRC_up
Top 10%,0.9,ADCY4,2.2943,0.02612,RCRC_up
Top 10%,0.9,IL11,-2.3478,0.004211,LCRC_up
Top 10%,0.9,IL24,-2.2264,0.026958,LCRC_up
Top 10%,0.9,UPK3A,-2.008,0.011213,LCRC_up
Top 10%,0.9,CTD-2288O8.1,-1.9109,0.044547,LCRC_up
Top 10%,0.9,RGPD2,-1.744,0.004543,LCRC_up
Top 10%,0.9,TNK2-AS1,-1.7236,0.001516,LCRC_up
Top 10%,0.9,SEZ6,-1.6426,0.034279,LCRC_up
Top 10%,0.9,MSI1,-1.6118,0.00133,LCRC_up
Top 10%,0.9,CTD-2540F13.2,-1.5955,0.028013,LCRC_up
Top 10%,0.9,NGEF,-1.5594,0.018232,LCRC_up
Top 20%,0.8,ST8SIA6,3.1809,0.046723,RCRC_up
Top 20%,0.8,CHRNA10,3.1504,0.008067,RCRC_up
Top 20%,0.8,HOXC8,3.0404,0.021381,RCRC_up
Top 20%,0.8,XXbac-BPG294E21.9,2.7552,0.017049,RCRC_up
Top 20%,0.8,CTB-119C2.1,2.7259,0.016843,RCRC_up
Top 20%,0.8,GCNT4,2.7226,0.029711,RCRC_up
Top 20%,0.8,C1orf186,2.6112,0.03327,RCRC_up
Top 20%,0.8,LIPE,2.5561,0.000526,RCRC_up
Top 20%,0.8,AC241585.2,2.5546,0.010538,RCRC_up
Top 20%,0.8,CNTNAP2,2.4163,0.0423,RCRC_up
Top 20%,0.8,PRAC1,-3.7515,0.000207,LCRC_up
Top 20%,0.8,TNFRSF10C,-2.7293,0.01236,LCRC_up
Top 20%,0.8,BTBD16,-2.1921,0.000519,LCRC_up
Top 20%,0.8,TNK2-AS1,-2.1001,0.0,LCRC_up
Top 20%,0.8,SYN2,-2.0844,0.026396,LCRC_up
Top 20%,0.8,RNF39,-1.9993,0.007106,LCRC_up
Top 20%,0.8,TTC39A,-1.9588,0.008579,LCRC_up
Top 20%,0.8,CASC21,-1.9384,7.7e-05,LCRC_up
Top 20%,0.8,SPINK1,-1.8497,0.009319,LCRC_up
Top 20%,0.8,IL11,-1.8368,0.000116,LCRC_up
Top 30% [default],0.7,ST8SIA6,3.6902,0.035458,RCRC_up
Top 30% [default],0.7,HOXC8,3.0889,0.027164,RCRC_up
Top 30% [default],0.7,FKBP5,2.6637,0.03422,RCRC_up
Top 30% [default],0.7,GCNT4,2.6072,0.014935,RCRC_up
Top 30% [default],0.7,CTD-2012K14.6,2.5442,0.018152,RCRC_up
Top 30% [default],0.7,ZNF543,2.5393,0.020987,RCRC_up
Top 30% [default],0.7,XXbac-BPG294E21.9,2.5122,0.026006,RCRC_up
Top 30% [default],0.7,HYLS1,2.4805,0.001282,RCRC_up
Top 30% [default],0.7,RBAK-RBAKDN,2.4713,0.033149,RCRC_up
Top 30% [default],0.7,CHRNA10,2.4346,0.038106,RCRC_up
Top 30% [default],0.7,PRAC1,-4.4737,0.002242,LCRC_up
Top 30% [default],0.7,HLA-G,-2.6932,0.019111,LCRC_up
Top 30% [default],0.7,BTBD16,-2.5572,0.021145,LCRC_up
Top 30% [default],0.7,DUSP27,-2.4558,0.002991,LCRC_up
Top 30% [default],0.7,ZNF750,-2.1494,0.000183,LCRC_up
Top 30% [default],0.7,SYN2,-2.124,0.031648,LCRC_up
Top 30% [default],0.7,KIR2DL1,-2.1065,0.001504,LCRC_up
Top 30% [default],0.7,CTD-2547H18.1,-2.068,0.016246,LCRC_up
Top 30% [default],0.7,TULP2,-2.0403,0.003372,LCRC_up
Top 30% [default],0.7,IGLV10-54,-2.0309,0.021914,LCRC_up
Top 50%,0.5,ST8SIA6,3.192,0.028079,RCRC_up
Top 50%,0.5,XXbac-BPG294E21.9,2.7695,0.00517,RCRC_up
Top 50%,0.5,FKBP5,2.7007,0.032147,RCRC_up
Top 50%,0.5,IRGM,2.645,0.024609,RCRC_up
Top 50%,0.5,ZBTB20-AS4,2.616,0.015769,RCRC_up
Top 50%,0.5,HOXC8,2.6038,0.026284,RCRC_up
Top 50%,0.5,TMEM236,2.452,0.013974,RCRC_up
Top 50%,0.5,ZNF799,2.4226,0.04543,RCRC_up
Top 50%,0.5,ZNF540,2.416,0.000343,RCRC_up
Top 50%,0.5,GP6,2.414,0.024749,RCRC_up
Top 50%,0.5,PRAC1,-5.355,0.001402,LCRC_up
Top 50%,0.5,RNF39,-3.633,0.001587,LCRC_up
Top 50%,0.5,DUSP27,-3.3913,0.005867,LCRC_up
Top 50%,0.5,BTBD16,-3.1962,0.006413,LCRC_up
Top 50%,0.5,ZNF750,-2.802,0.041516,LCRC_up
Top 50%,0.5,KIR2DL1,-2.5567,0.01534,LCRC_up
Top 50%,0.5,DEFA3,-2.5352,0.038658,LCRC_up
Top 50%,0.5,TAC1,-2.5113,0.035309,LCRC_up
Top 50%,0.5,ZFP57,-2.478,0.005811,LCRC_up
Top 50%,0.5,CTD-2547H18.1,-2.3319,0.030435,LCRC_up
