threshold,quantile_cut,gene,log2fc,pval,-log10p,direction
Top 10%,0.9,HPSE2,2.3159570693969727,0.0124859279460227,1.903579175630505,RCRC
Top 10%,0.9,FGFR4,2.194000720977783,0.04343136279388823,1.3621965430858505,RCRC
Top 10%,0.9,HOXC8,2.1873867511749268,0.0035538056791447887,2.449306322952318,RCRC
Top 10%,0.9,HOXC6,1.986414909362793,0.020111678072078153,1.6965516913605343,RCRC
Top 10%,0.9,SFRP1,1.83950936794281,0.01839098784398347,1.735394942666825,RCRC
Top 10%,0.9,MLXIPL,1.7712571620941162,0.04366042042595343,1.359912086588572,RCRC
Top 10%,0.9,ARHGAP20,1.7684211730957031,0.04391850372346844,1.3573524644530122,RCRC
Top 10%,0.9,PRRT1,1.7385575771331787,0.019714070924141975,1.705223685343285,RCRC
Top 10%,0.9,SCUBE1,1.6406376361846924,0.04401085497206961,1.3564401945807634,RCRC
Top 10%,0.9,CCDC173,1.6085023880004883,0.035929390077801916,1.4445501551330433,RCRC
Top 10%,0.9,TCL1A,-2.2927699089050293,0.023416078556867587,1.6304858335894301,LCRC
Top 10%,0.9,RLTPR,-2.0826785564422607,0.047855844682590055,1.3200650138247,LCRC
Top 10%,0.9,S100A1,-1.9775559902191162,0.0337861867057837,1.4712608223147854,LCRC
Top 10%,0.9,CTB-50L17.14,-1.9401360750198364,0.023005096762373892,1.638175935697309,LCRC
Top 10%,0.9,NIPAL4,-1.8573389053344727,0.04327743062450768,1.3637385311436772,LCRC
Top 10%,0.9,ACY3,-1.8547320365905762,0.02617263551522138,1.582152542851632,LCRC
Top 10%,0.9,ASPHD1,-1.8409281969070435,0.020101716361513505,1.6967668592705292,LCRC
Top 10%,0.9,CTD-2561B21.11,-1.731163501739502,0.03887591934904333,1.410319327521494,LCRC
Top 10%,0.9,KIF9-AS1,-1.699263572692871,0.03956418405967921,1.4026977863887116,LCRC
Top 10%,0.9,SERHL2,-1.5738461017608643,0.0038326762099496962,2.4164978690242482,LCRC
Top 20%,0.8,HOXC8,2.8944778442382812,0.001752006610285328,2.7564642595805946,RCRC
Top 20%,0.8,HOXC6,2.7738895416259766,0.04133186224484334,1.3837150267425025,RCRC
Top 20%,0.8,CNTNAP2,2.5761771202087402,0.007751759318659721,2.1105997199873046,RCRC
Top 20%,0.8,CNR2,2.250650405883789,0.01577948425498396,1.801907195605364,RCRC
Top 20%,0.8,CTD-2396E7.11,2.0844948291778564,0.0007597513856855677,3.1193284991518735,RCRC
Top 20%,0.8,TRIM63,2.0406248569488525,0.013184270434433694,1.8799438973507125,RCRC
Top 20%,0.8,TMEM240,2.0195605754852295,0.036515628469809935,1.4375212203238676,RCRC
Top 20%,0.8,GSTA1,1.9847875833511353,0.024715324568347356,1.6070336818927977,RCRC
Top 20%,0.8,HRH4,1.9524048566818237,0.03944598798068019,1.4039971619465206,RCRC
Top 20%,0.8,HOXC5,1.904554009437561,0.02896620461424713,1.538108405834285,RCRC
Top 20%,0.8,PRAC1,-3.1572253704071045,0.0013757231574418867,2.861468952213769,LCRC
Top 20%,0.8,IL24,-2.540236473083496,0.03337912094908424,1.4765251048044343,LCRC
Top 20%,0.8,TNFRSF10C,-2.101792097091675,0.022904842867655338,1.6400726832349524,LCRC
Top 20%,0.8,CTD-2561B21.11,-2.092419147491455,0.04577050865369335,1.3394142611740825,LCRC
Top 20%,0.8,TNK2-AS1,-2.063035249710083,8.325417153292206e-06,5.079593996520255,LCRC
Top 20%,0.8,TTC39A,-2.0126688480377197,0.01752342775880437,1.7563809374872064,LCRC
Top 20%,0.8,UPK3A,-2.0112392902374268,0.007656242355291408,2.115984327595395,LCRC
Top 20%,0.8,SPINK1,-1.8393479585647583,0.002337869787599986,2.6311796814126818,LCRC
Top 20%,0.8,NPFFR2,-1.7592408657073975,0.009981948430407984,2.0007846781532366,LCRC
Top 20%,0.8,LEP,-1.6613394021987915,0.010590906308694678,1.9750668738846489,LCRC
Top 30% [default],0.7,HOXC6,3.5607032775878906,0.030083448818594115,1.521672376955865,RCRC
Top 30% [default],0.7,HOXC8,3.088881492614746,0.006407136388956933,2.193336031066523,RCRC
Top 30% [default],0.7,CNTNAP2,2.5635807514190674,0.04481790317157154,1.3485484660142117,RCRC
Top 30% [default],0.7,TRIM63,2.417712450027466,0.0034190339912621402,2.4660965815244937,RCRC
Top 30% [default],0.7,FAM169A,2.3591463565826416,0.04074475338855589,1.389928306460104,RCRC
Top 30% [default],0.7,CLDN9,2.3505396842956543,0.011310250289789426,1.9465277842636088,RCRC
Top 30% [default],0.7,ST8SIA6,2.1103882789611816,0.030210378671878802,1.5198438310300386,RCRC
Top 30% [default],0.7,ZBTB16,2.0997567176818848,0.035007243872366006,1.4558420799844822,RCRC
Top 30% [default],0.7,TRBV14,1.8589273691177368,0.0010757297987050737,2.9682968008515336,RCRC
Top 30% [default],0.7,TDRD1,1.8523733615875244,0.04617904202554809,1.3355550806724934,RCRC
Top 30% [default],0.7,PRAC1,-4.054502487182617,0.006468929453196432,2.1891675850250034,LCRC
Top 30% [default],0.7,CTB-55O6.13,-2.125993013381958,0.03869664167119952,1.412326724049655,LCRC
Top 30% [default],0.7,ZFP57,-2.0243494510650635,0.03951397083878584,1.4032493249953344,LCRC
Top 30% [default],0.7,NPFFR2,-1.9855436086654663,0.02518467266162383,1.5988636895223451,LCRC
Top 30% [default],0.7,TAC1,-1.9661221504211426,0.04020013721047712,1.3957724645858938,LCRC
Top 30% [default],0.7,HAR1B,-1.9391424655914307,0.0031823814771133395,2.497247762000835,LCRC
Top 30% [default],0.7,ADM2,-1.8966984748840332,0.005878566823700912,2.2307285406626747,LCRC
Top 30% [default],0.7,CPNE6,-1.7545747756958008,0.028332313509541934,1.547717961187118,LCRC
Top 30% [default],0.7,MSI1,-1.7020378112792969,0.03526002492028361,1.4527173850957487,LCRC
Top 30% [default],0.7,LEP,-1.6613394021987915,0.010590906308694678,1.9750668738846489,LCRC
Top 50%,0.5,HPCAL4,3.5005409717559814,0.04340204351811225,1.3624898219219024,RCRC
Top 50%,0.5,HOXC6,2.9471311569213867,0.02876586889830946,1.5411225031944749,RCRC
Top 50%,0.5,HOXC-AS1,2.2941622734069824,0.014602593741539294,1.8355699971202788,RCRC
Top 50%,0.5,MAB21L3,2.2748563289642334,0.027741903555742936,1.5568637424194862,RCRC
Top 50%,0.5,ST8SIA6,2.2450098991394043,0.013927984263831569,1.8561117325667,RCRC
Top 50%,0.5,CCDC173,2.2150566577911377,0.0005994730312501404,3.222230349917424,RCRC
Top 50%,0.5,HOXC8,2.1623306274414062,0.009281033315533493,2.032403668366103,RCRC
Top 50%,0.5,GP6,2.0556859970092773,0.021794401691598343,1.661655048903876,RCRC
Top 50%,0.5,FKBP5,1.9733539819717407,0.023058759051892207,1.6371640687419793,RCRC
Top 50%,0.5,CXorf57,1.9612820148468018,0.02277828779310496,1.642478924240824,RCRC
Top 50%,0.5,PRAC1,-4.851240634918213,0.015746130997059696,1.8028261398453822,LCRC
Top 50%,0.5,NPFFR2,-2.3538708686828613,0.005965053317284026,2.2243856701329925,LCRC
Top 50%,0.5,TAC1,-2.233576536178589,0.027852081803312004,1.5551423379444385,LCRC
Top 50%,0.5,MYADML2,-2.180285930633545,0.022975843775454707,1.6387285304186703,LCRC
Top 50%,0.5,TRBV18,-2.0081748962402344,0.012412498084297612,1.9061408055240783,LCRC
Top 50%,0.5,GLTPD2,-1.9122637510299683,0.0014216449409463715,2.847208856097154,LCRC
Top 50%,0.5,TULP2,-1.9107638597488403,0.009774700040287285,2.0098965610775523,LCRC
Top 50%,0.5,TRAV8-4,-1.8894565105438232,0.0010462719911116067,2.9803554006660185,LCRC
Top 50%,0.5,CPNE6,-1.8612926006317139,0.028867738089734432,1.5395872436090947,LCRC
Top 50%,0.5,ARHGEF4,-1.8279224634170532,0.025487345347474294,1.5936753964248795,LCRC
