subtype,gene,logFC,padj,source
TAM,FTH1,2.725,0.0,curated
TAM,CTSB,5.617,0.0,curated
TAM,SOD2,4.869,0.0,curated
TAM,HMOX1,,,curated
TAM,LGALS3,,,curated
TAM,CD68,5.333,0.0,curated
TAM,HLA-DRA,6.803,0.0,curated
TAM,FCGR1A,,,curated
TAM,RGS1,,,curated
TAM,SOCS3,,,curated
Inflam_Mac,IL1B,,,curated
Inflam_Mac,TNF,,,curated
Inflam_Mac,G0S2,,,curated
Inflam_Mac,PTGS2,,,curated
Inflam_Mac,NFKBIA,,,curated
Inflam_Mac,VEGFA,,,curated
Inflam_Mac,FCER1G,6.019,0.0,computed
Inflam_Mac,FTH1,3.235,0.0,computed
Inflam_Mac,TYROBP,5.787,0.0,computed
Inflam_Mac,FTL,3.073,0.0,computed
Classical_Mono,S100A8,9.0,0.0,curated
Classical_Mono,S100A9,8.458,0.0,curated
Classical_Mono,FCN1,7.875,0.0,curated
Classical_Mono,LYZ,7.093,0.0,curated
Classical_Mono,CST3,4.131,0.0,curated
Classical_Mono,VCAN,6.877,0.0,curated
Classical_Mono,CD14,5.815,0.0,curated
Classical_Mono,TYROBP,6.38,0.0,curated
Classical_Mono,CTSS,3.997,0.0,curated
Classical_Mono,MNDA,,,curated
cDC2,FCER1A,,,curated
cDC2,CD1C,,,curated
cDC2,CLEC10A,8.212,0.0,curated
cDC2,CD86,,,curated
cDC2,HLA-DQA1,,,curated
cDC2,SPI1,4.592,0.0,curated
cDC2,CD74,5.301,0.0,computed
cDC2,CST3,5.396,0.0,computed
cDC2,LYZ,6.096,0.0,computed
cDC2,AIF1,5.08,0.0,computed
pDC,IRF7,5.335,4.6576467182820194e-275,curated
pDC,TCF4,5.18,3.401643135953256e-239,curated
pDC,PLD4,7.51,2.852579825132197e-225,curated
pDC,PLAC8,4.834,1.1086864944177074e-265,curated
pDC,IRF8,5.191,7.11491334319697e-237,curated
pDC,GZMB,6.572,2.602180919303828e-283,curated
pDC,TSPAN13,4.542,7.747724292748174e-200,curated
pDC,ITM2C,3.42,3.11320879315044e-189,curated
pDC,SEC61B,3.332,3.4713855152080157e-276,computed
pDC,CD74,4.644,3.9942456600805023e-253,computed
CD8_Tex,HAVCR2,,,curated
CD8_Tex,ENTPD1,,,curated
CD8_Tex,PDCD1,,,curated
CD8_Tex,TIGIT,,,curated
CD8_Tex,LAG3,,,curated
CD8_Tex,CTLA4,,,curated
CD8_Tex,TOX,,,curated
CD8_Tex,CREM,4.108,0.0,curated
CD8_Tex,HOPX,3.589,0.0,curated
CD8_Tex,CCL5,5.673,0.0,computed
CD8_Tpex,TCF7,,,curated
CD8_Tpex,CCR7,,,curated
CD8_Tpex,SELL,,,curated
CD8_Tpex,IL7R,3.366,0.0,curated
CD8_Tpex,LTB,,,curated
CD8_Tpex,TOX2,,,curated
CD8_Tpex,CXCR5,,,curated
CD8_Tpex,BCL6,,,curated
CD8_Tpex,SLAMF6,,,curated
CD8_Tpex,JUNB,1.652,0.0,curated
CD8_Teff,GZMB,,,curated
CD8_Teff,PRF1,,,curated
CD8_Teff,IFNG,,,curated
CD8_Teff,NKG7,4.543,0.0,curated
CD8_Teff,CCL4,2.674,0.0,curated
CD8_Teff,FGFBP2,,,curated
